id;Device;SpawnOrder;ObjectName;SpawnID;LandOnTable;Distance;ObjectRotation;ObjectHeight;ObjectPosAfterGrabLoss;ObjectDistanceToHeadFromGrab;ObjectPosAfterContact;TimeFromSpawnToGrab;TimeFromSpawnToGrabLoss;TimeFromSpawnToContact;TimeFromGrabToGrabLoss;TimeFromGrabToContact;TimeForDevice;TimeForTrainingPhase;DeviceOrder
31;Oculus;1;Cube10x10x10(Clone);9;True;0,0061;"(0,000; 358,723; 0,000)";-0,05708907;"(-0,001; 0,043; 0,006)";0,69058;"(-0,001; 0,043; 0,006)";0,8995694;1,666455;1,666455;0,7668861;0,7668861;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;2;Cube10x10x10(Clone);3;True;0,00823;"(0,000; 0,343; 0,000)";-0,05635462;"(0,006; 0,044; 0,005)";0,7249;"(0,006; 0,044; 0,005)";0,7220861;1,543839;1,543839;0,8217529;0,8217529;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;3;Cube10x10x10(Clone);6;True;0,01384;"(0,000; 3,021; 0,000)";-0,05084167;"(-0,001; 0,049; 0,014)";0,5216;"(-0,001; 0,049; 0,014)";0,6004599;1,267506;1,267506;0,6670462;0,6670462;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;4;Cube10x10x10(Clone);1;True;0,00896;"(0,000; 358,538; 0,000)";-0,0530952;"(0,001; 0,047; -0,009)";0,70566;"(0,001; 0,047; -0,009)";0,8462129;1,683294;1,683294;0,8370802;0,8370802;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;5;Cube10x10x10(Clone);4;True;0,00253;"(0,001; 0,081; -0,001)";-0,05230353;"(0,000; 0,048; -0,002)";0,63594;"(0,000; 0,048; -0,002)";0,6223506;1,222507;1,222507;0,6001564;0,6001564;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;6;Cube10x10x10(Clone);2;True;0,00342;"(0,000; 0,670; 0,000)";-0,05409954;"(0,001; 0,046; -0,003)";0,74292;"(0,001; 0,046; -0,003)";0,8555602;1,70015;1,70015;0,8445892;0,8445892;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;7;Cube10x10x10(Clone);8;True;0,00703;"(0,000; 359,770; 0,000)";-0,05254386;"(0,005; 0,047; 0,004)";0,57982;"(0,005; 0,047; 0,004)";0,677821;1,444018;1,444018;0,7661973;0,7661973;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;8;Cube10x10x10(Clone);10;True;0,00192;"(0,000; 1,617; 0,000)";-0,05258653;"(0,001; 0,047; 0,000)";0,71174;"(0,001; 0,047; 0,000)";0,7554807;1,789527;1,789527;1,034047;1,034047;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;9;Cube10x10x10(Clone);5;True;0,00692;"(0,000; 0,600; 0,000)";-0,05139849;"(-0,002; 0,049; 0,006)";0,55388;"(-0,002; 0,049; 0,006)";0,6215029;1,566067;1,566067;0,9445642;0,9445642;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;10;Cube10x10x10(Clone);7;True;0,0069;"(-0,001; 6,754; 0,001)";-0,05199454;"(0,005; 0,048; -0,002)";0,52534;"(0,005; 0,048; -0,002)";0,6000418;1,389169;1,389169;0,7891269;0,7891269;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;11;Cube6x6x6(Clone);2;True;0,00129;"(0,000; 357,795; 0,000)";-0,03188651;"(0,002; 0,028; 0,000)";0,73992;"(0,002; 0,028; 0,000)";0,721061;1,521298;1,521298;0,8002374;0,8002374;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;12;Cube6x6x6(Clone);7;True;0,00538;"(-0,001; 1,496; 0,001)";-0,03008717;"(0,001; 0,030; 0,005)";0,53188;"(0,001; 0,030; 0,005)";0,5778069;1,500321;1,500321;0,9225141;0,9225141;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;13;Cube6x6x6(Clone);3;True;0,003;"(0,000; 357,286; 0,000)";-0,03193599;"(-0,002; 0,028; -0,001)";0,71255;"(-0,002; 0,028; -0,001)";0,7001255;1,57845;1,57845;0,8783236;0,8783236;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;14;Cube6x6x6(Clone);1;True;0,00102;"(0,000; 359,345; 0,000)";-0,03399628;"(0,001; 0,026; -0,001)";0,72778;"(0,001; 0,026; -0,001)";0,7778497;1,711127;1,711127;0,9332769;0,9332769;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;15;Cube6x6x6(Clone);4;True;0,00468;"(0,000; 359,223; 0,000)";-0,03172534;"(-0,003; 0,028; 0,003)";0,66581;"(-0,003; 0,028; 0,003)";0,6556613;1,577809;1,577809;0,9221475;0,9221475;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;16;Cube6x6x6(Clone);6;True;0,01766;"(0,000; 2,474; 0,000)";-0,01611155;"(-0,002; 0,044; 0,016)";0,52981;"(-0,001; 0,031; 0,017)";0,5664195;1,066355;1,099722;0,4999353;0,5333025;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;17;Cube6x6x6(Clone);8;True;0,00673;"(0,000; 1,990; 0,000)";-0,03055495;"(0,006; 0,029; -0,002)";0,59276;"(0,006; 0,029; -0,002)";0,6450284;1,422294;1,422294;0,777265;0,777265;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;18;Cube6x6x6(Clone);10;True;0,00851;"(0,000; 359,455; 0,000)";-0,03350299;"(0,008; 0,026; -0,002)";0,71878;"(0,008; 0,026; -0,002)";0,7444624;1,577486;1,577486;0,833023;0,833023;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;19;Cube6x6x6(Clone);9;True;0,00713;"(0,000; 2,222; 0,000)";-0,03136152;"(0,004; 0,029; 0,006)";0,6655;"(0,004; 0,029; 0,006)";0,7554027;1,5444;1,5444;0,7889977;0,7889977;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;20;Cube6x6x6(Clone);5;True;0,00341;"(0,000; 0,410; 0,000)";-0,03236669;"(0,003; 0,028; 0,000)";0,57934;"(0,003; 0,028; 0,000)";0,6779732;1,488536;1,488536;0,8105618;0,8105618;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;21;Cube3x3x3(Clone);2;True;0,00401;"(0,000; 356,223; 0,000)";-0,01553097;"(0,000; 0,014; -0,004)";0,73323;"(0,000; 0,014; -0,004)";0,8664759;1,866502;1,866502;1,000027;1,000027;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;22;Cube3x3x3(Clone);4;True;0,00423;"(0,000; 357,336; 0,000)";-0,01675013;"(0,005; 0,013; 0,000)";0,63787;"(0,005; 0,013; 0,000)";0,6446228;1,655619;1,655619;1,010996;1,010996;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;23;Cube3x3x3(Clone);10;True;0,0079;"(0,000; 359,448; 0,000)";-0,01816538;"(0,008; 0,012; -0,002)";0,71209;"(0,008; 0,012; -0,002)";0,8445775;1,88915;1,88915;1,044572;1,044572;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;24;Cube3x3x3(Clone);7;True;0,00379;"(0,000; 11,836; 0,000)";-0,01440874;"(0,003; 0,016; 0,000)";0,52311;"(0,003; 0,016; 0,000)";0,6777328;1,600401;1,600401;0,9226686;0,9226686;counting;61,68966;Oculus-Leap-LeapHHI
31;Oculus;25;Cube3x3x3(Clone);3;True;0,00373;"(0,001; 350,618; -0,001)";-0,01677945;"(-0,001; 0,013; 0,004)";0,70602;"(-0,001; 0,013; 0,004)";0,8225554;1,789117;1,789117;0,9665613;0,9665613;counting;61,68966;Oculus-Leap-LeapHHI
