id;Device;SpawnOrder;ObjectName;SpawnID;LandOnTable;Distance;ObjectRotation;ObjectHeight;ObjectPosAfterGrabLoss;ObjectDistanceToHeadFromGrab;ObjectPosAfterContact;TimeFromSpawnToGrab;TimeFromSpawnToGrabLoss;TimeFromSpawnToContact;TimeFromGrabToGrabLoss;TimeFromGrabToContact;TimeForDevice;TimeForTrainingPhase;DeviceOrder
3;Leap;19;Cube10x10x10(Clone);8;True;0,01968;"(0,000; 25,417; 0,000)";-0,03668735;"(-0,005; 0,063; -0,004)";0,51824;"(-0,005; 0,063; -0,004)";0,9115196;3,811826;3,811826;2,900307;2,900307;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;20;Cube10x10x10(Clone);1;True;0,01151;"(0,000; 0,495; 0,000)";-0,04654286;"(0,007; 0,053; 0,012)";0,53819;"(0,007; 0,053; 0,012)";1,100084;5,155582;5,155582;4,055497;4,055497;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;21;Cube3x3x3(Clone);6;True;0,01677;"(0,000; 18,059; 0,000)";0,006269785;"(0,007; 0,036; 0,009)";0,36906;"(0,003; 0,017; 0,014)";0,8219061;2,955271;3,02201;2,133363;2,200102;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;22;Cube3x3x3(Clone);3;True;0,01026;"(0,000; 355,162; 0,000)";-0,004379539;"(-0,005; 0,026; -0,004)";0,45944;"(-0,009; 0,015; -0,006)";2,77746;4,966424;5,010561;2,188964;2,2331;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;23;Cube3x3x3(Clone);10;True;0,01639;"(90,000; 39,598; 0,000)";-0,01105967;"(0,009; 0,019; 0,008)";0,50571;"(0,009; 0,019; 0,008)";1,222303;2,878018;2,878018;1,655714;1,655714;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;24;Cube3x3x3(Clone);1;True;0,02125;"(0,000; 28,775; 0,000)";0,01477322;"(0,027; 0,045; -0,013)";0,48054;"(0,023; 0,021; -0,015)";1,189172;3,345288;3,411931;2,156116;2,222759;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;25;Cube3x3x3(Clone);4;True;0,01;"(0,000; 346,488; 0,000)";-0,001174359;"(0,000; 0,029; 0,010)";0,49268;"(-0,002; 0,015; 0,010)";1,744566;3,4669;3,51142;1,722335;1,766855;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;26;Cube3x3x3(Clone);7;True;0,03129;"(0,000; 28,551; 0,000)";-0,001921682;"(0,020; 0,028; 0,024)";0,36133;"(0,020; 0,015; 0,024)";0,9443653;2,144222;2,18863;1,199856;1,244265;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;27;Cube3x3x3(Clone);8;True;0,01853;"(0,000; 11,464; 0,000)";-0,007378845;"(0,013; 0,023; -0,005)";0,47574;"(0,014; 0,020; -0,006)";1,055488;3,17807;3,200342;2,122582;2,144854;counting;117,8358;Leap-Oculus-LeapHHI
3;Leap;28;Cube3x3x3(Clone);9;True;0,00761;"(0,000; 13,102; 0,000)";-0,000649003;"(0,007; 0,029; 0,002)";0,47935;"(0,007; 0,015; 0,002)";2,511325;4,011327;4,06706;1,500003;1,555736;counting;117,8358;Leap-Oculus-LeapHHI
